FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
1997-SNS-0004-DMR,SNS,2336,Acoustic,,,,,"1997-07-14 14:15:00",45B,,,93.00,106.00,cm,,,1,0,1,,74.40,45.00,,,,,,,,,,,,,NA,NA,Kennebec,
1997-SNS-0004-DMR,SNS,2336,Acoustic,,,,,"1998-09-03 13:08:00",45D,,,96.20,105.50,cm,,,1,1,0,,,,,,,,,,,,,,,,NA,NA,Kennebec,
1998-SNS-0002-DMR,SNS,16,Acoustic,,,,,"1998-05-14 09:55:00",45D,,,85.50,96.00,cm,,,1,0,1,,61.90,62.90,,,,,,,,,,,,,NA,NA,Kennebec,"PIT & carlin match but smaller on recapture: meaurement error?"
1998-SNS-0002-DMR,SNS,16,Acoustic,,,,,"1998-10-14 10:13:00",46,,,84.10,92.40,cm,4500.0,g,1,1,0,,58.80,46.90,,,,,,,,,,,,,NA,NA,Kennebec,"PIT & carlin match but smaller on recapture: meaurement error?"
1998-SNS-0014-DMR,SNS,22,Acoustic,,,,,"1998-06-24 12:25:00",45A,,,81.50,92.00,cm,6000.0,g,1,0,1,,58.90,46.70,,,,,,,,,,,,,NA,NA,Kennebec,
1998-SNS-0014-DMR,SNS,22,Acoustic,,,,,"1998-10-21 09:30:00",46,,,82.00,92.00,cm,5500.0,g,1,1,0,,59.20,43.10,,,,,,,,,,,,,NA,NA,Kennebec,
2010-SNS-0002-DMR,SNS,A69-9001-30385,Acoustic,,,,,"2010-11-14 14:00:00",44,,,76.80,88.00,cm,3700.0,g,1,0,1,F,61.00,46.00,,,,,,,,,,,,,NA,NA,Kennebec,
2011-SNS-0001-DMR,SNS,A69-9001-30402,Acoustic,,,,,"2011-11-01 14:47:00",13,,,76.50,88.30,cm,3000.0,g,1,0,1,,56.00,39.00,,,,,,,,,,,,,NA,NA,Kennebec,
2011-SNS-0002-DMR,SNS,A69-9001-30400,Acoustic,,,,,"2011-11-09 15:01:00",44,,,83.30,96.40,cm,4900.0,g,1,0,1,,61.00,49.00,,,,,,,,,,,,,NA,NA,Kennebec,
2011-SNS-0003-DMR,SNS,A69-9001-30388,Acoustic,,,,,"2011-11-15 14:44:00",44,,,77.20,93.10,cm,2900.0,g,1,0,1,,59.00,49.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0001-DMR,SNS,A69-9001-30391,Acoustic,,,,,"2012-07-26 10:15:00",13B,,,68.60,75.50,cm,2600.0,g,1,0,1,,55.00,47.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0002-DMR,SNS,A69-9001-30394,Acoustic,,,,,"2012-07-26 10:15:00",13B,,,78.70,90.20,cm,3900.0,g,1,0,1,,57.00,44.00,,,,,,,,,,,,,NA,NA,Kennebec,
2012-SNS-0003-DMR,SNS,A69-9001-30397,Acoustic,,,,,"2012-08-01 12:05:00","43º 52.810, 69º 48.788; 13B",434676,4858884,65.30,74.00,cm,,,1,0,1,,50.00,43.00,,,,,,,,,,,,,NA,NA,Kennebec,"43º 52.810, 69º 48.788"
