"FishID","TagID","CaptureDate","ForkLength","TotalLength","Mass","Recapture","InitialRelease","Sex"
"SNS-2006-001","1053H","2006-06-14 00:00:00",80,89,4.25,0,1,"U"
"SNS-2006-034","1098600","2006-07-06 08:20:00",103,116,9.5,0,1,"U"
"SNS-2006-034","1098600","2008-08-13 10:02:00",103,116,9.5,1,0,"F"
"SNS-2006-034","1098600","2010-10-11 11:52:00",102,115,9.5,1,0,"LF"
"SNS-2007-003","1044640","2007-05-25 12:11:00",66,78,2.5,0,1,"U"
"SNS-2007-004","1044641","2007-05-25 12:11:00",85,100,6,0,1,"U"
"SNS-2007-006","1039849","2007-05-28 08:57:00",93,106,6.5,0,1,"U"
"SNS-2007-007","1039848","2007-05-28 09:54:00",67,77,2.5,0,1,"U"
"SNS-2007-012","1039846","2007-05-29 09:55:00",88,104,5.5,0,1,"U"
"SNS-2007-014","1039847","2007-05-29 12:30:00",82,96,4.75,0,1,"U"
"SNS-2007-015","1039845","2007-05-29 12:30:00",88,99,6,0,1,"U"
"SNS-2007-015","1039845","2007-05-30 11:30:00",88,99,6,1,0,"U"
"SNS-2007-021","1039844","2007-05-30 09:35:00",92,104,7.75,0,1,"U"
"SNS-2007-029","1042795","2007-05-30 11:30:00",83,96,4.5,0,1,"U"
"SNS-2007-029","1042795","2008-07-15 15:00:00",93,106,6,1,0,"U"
"SNS-2007-029","1042795","2008-08-13 09:25:00",91,105,6,1,0,"U"
"SNS-2007-047","1043679","2007-06-02 15:41:00",101,118,9,0,1,"U"
"SNS-2007-047","1043679","2009-09-22 15:37:00",102,118,9.5,1,0,"LF"
"SNS-2007-068","1043689","2007-09-25 13:11:00",88,100,5.5,0,1,"U"
"SNS-2007-068","1043689","2010-07-09 11:22:00",89,99,6,1,0,"U"
"SNS-2007-069","1043683","2007-09-26 11:35:00",87,99,7,0,1,"F"
"SNS-2007-078","1043687","2007-09-27 07:48:00",108,125,11,0,1,"F"
"SNS-2007-079","1043684","2007-09-27 08:55:00",94,108,9.5,0,1,"F"
"SNS-2007-080","1043685","2007-09-27 09:56:00",87,100,6.5,0,1,"F"
"SNS-2007-087","1043681","2007-11-02 13:18:00",97,112,6,0,1,"U"
"SNS-2007-088","1043680","2007-11-02 13:18:00",104,118,8.5,0,1,"U"
"SNS-2007-088","1043680","2008-07-15 15:00:00",101,118,10.75,1,0,"U"
"SNS-2007-089","1043682","2007-11-02 15:00:00",93,104,6,0,1,"U"
"SNS-2008-001","1042793","2008-07-02 14:18:00",94,109,7,0,1,"U"
"SNS-2008-002","1042792","2008-07-02 13:55:00",89,99,7,0,1,"F"
"SNS-2008-003","1042794","2008-07-15 15:00:00",80,88,4.5,0,1,"U"
"SNS-2008-004","1043698","2008-07-15 15:00:00",86,97,5.5,0,1,"F"
"SNS-2008-004","1043698","2013-07-11 00:00:00",88,103,6,1,0,"U"
"SNS-2008-005","1042800","2008-07-15 15:00:00",88,103,7.5,0,1,"U"
"SNS-2008-006","1042796","2008-07-15 15:00:00",95,110,8,0,1,"F"
"SNS-2008-007","1043691","2008-07-15 15:00:00",98,116,6.75,0,1,"U"
"SNS-2008-007","1043691","2009-10-16 11:30:00",NA,NA,5.75,1,0,""
"SNS-2008-007","1043691","2010-10-11 11:52:00",93,112,6,1,0,"TT"
"SNS-2008-007","1043691","2011-10-07 13:00:00",95,113,7.5,1,0,"EF"
"SNS-2008-007","1043691","2017-07-14 00:00:00",101,118,7.55,1,0,"U"
"SNS-2008-007","1268216","2008-07-15 15:00:00",98,116,6.75,0,1,"U"
"SNS-2008-007","1268216","2009-10-16 11:30:00",NA,NA,5.75,1,0,""
"SNS-2008-007","1268216","2010-10-11 11:52:00",93,112,6,1,0,"TT"
"SNS-2008-007","1268216","2011-10-07 13:00:00",95,113,7.5,1,0,"EF"
"SNS-2008-007","1268216","2017-07-14 00:00:00",101,118,7.55,1,0,"U"
"SNS-2008-008","1042786","2008-07-18 13:14:00",96,109,7,0,1,"U"
"SNS-2008-009","1098594","2008-07-29 00:00:00",93,109,8.5,0,1,"F"
"SNS-2008-009","1098594","2009-08-14 14:22:00",92,107,70,1,0,"U"
"SNS-2008-009","1098594","2009-10-21 14:01:00",NA,NA,6.5,1,0,"U"
"SNS-2008-009","1098594","2010-10-11 11:52:00",98,104,8,1,0,"F"
"SNS-2008-013","1042791","2008-08-08 17:54:00",73,83,3,0,1,"U"
"SNS-2008-015","1043694","2008-08-11 09:22:00",79,93,4,0,1,"U"
"SNS-2008-016","1043696","2008-08-11 09:22:00",79,93,4.25,0,1,"U"
"SNS-2008-016","1043696","2008-10-17 13:45:00",NA,NA,NA,1,0,""
"SNS-2008-016","1043696","2009-10-21 14:01:00",80,93,3.75,1,0,""
"SNS-2008-016","1043696","2010-09-10 12:55:00",82,96,4.5,1,0,"U"
"SNS-2008-016","1043696","2012-10-05 00:00:00",82,98,4.15,1,0,"U"
"SNS-2008-024","1043693","2008-08-13 09:25:00",90,105,8,0,1,"F"
"SNS-2008-038","1098597","2008-08-14 08:46:00",88,105,6.5,0,1,"U"
"SNS-2008-038","1098597","2008-10-27 11:13:00",86,102,6,1,0,"EF"
"SNS-2008-038","1098597","2010-10-11 11:52:00",88,105,7,1,0,"LF"
"SNS-2008-048","1098591","2008-08-14 09:28:00",89,106,7,0,1,"F"
"SNS-2008-048","1098591","2010-10-11 11:52:00",98,110,7.5,1,0,"F"
"SNS-2008-061","1043690","2008-08-25 16:00:00",90,104,7,0,1,"F"
"SNS-2008-073","1098606","2008-10-10 08:20:00",81,94,4,0,1,"U"
"SNS-2008-073","1098606","2010-10-11 12:49:00",89,106,5,1,0,""
"SNS-2008-073","1098606","2012-10-05 00:00:00",92,109,6.05,1,0,"TT"
"SNS-2008-077","1098595","2008-10-10 08:55:00",76,88,3.25,0,1,"U"
"SNS-2008-077","1098595","2009-08-11 13:25:00",78,90,5.25,1,0,"LF"
"SNS-2008-077","1098595","2010-10-11 08:52:00",79,92,4.5,1,0,"U"
"SNS-2008-079","1098590","2008-10-10 08:55:00",80,92,4,0,1,"U"
"SNS-2008-079","1098590","2010-10-11 11:52:00",81,94,5.5,1,0,"LF"
"SNS-2008-093","1268224","2008-10-12 10:24:00",67,78,2.5,0,1,"TT"
"SNS-2008-093","1268224","2016-11-23 00:00:00",79,92,4,1,0,"TT"
"SNS-2008-093","1268224","2017-09-13 00:00:00",85,98,5.4,1,0,""
"SNS-2008-093","1268224","2018-08-16 00:00:00",86,101,6.5,1,0,""
"SNS-2009-001","1060108","2009-08-03 10:05:00",70,82,2.75,0,1,"TT"
"SNS-2009-013","1147447","2009-08-11 13:25:00",81,93,5.75,0,1,"LF"
"SNS-2009-013","1147447","2010-08-27 10:10:00",82,93,5,1,0,"EF"
"SNS-2009-013","1147447","2012-10-05 00:00:00",85,95,5.35,1,0,""
"SNS-2009-013","1147447","2013-07-18 00:00:00",86,96,7,1,0,"U"
