Number,Date_Time,Temp_C,Batt_V,Coupler Attached,Host Connected,Stopped,End Of File
1,11/22/2011 0:00,4.831,3.01,,,,
2,11/22/2011 0:30,4.831,3.01,,,,
3,11/22/2011 1:00,4.831,3.01,,,,
4,11/22/2011 1:30,4.831,3.01,,,,
5,11/22/2011 2:00,4.831,3.01,,,,
6,11/22/2011 2:30,4.831,3.01,,,,
7,11/22/2011 3:00,4.727,3.03,,,,
8,11/22/2011 3:30,4.727,3.03,,,,
9,11/22/2011 4:00,4.727,3.03,,,,
10,11/22/2011 4:30,4.727,3.03,,,,
11,11/22/2011 5:00,4.727,3.03,,,,
12,11/22/2011 5:30,4.727,3.03,,,,
13,11/22/2011 6:00,4.727,3.03,,,,
14,11/22/2011 6:30,4.727,3.03,,,,
15,11/22/2011 7:00,4.623,3.03,,,,
16,11/22/2011 7:30,4.727,3.01,,,,
17,11/22/2011 8:00,4.623,3.01,,,,
18,11/22/2011 8:30,4.623,3.01,,,,
19,11/22/2011 9:00,4.623,3.01,,,,
20,11/22/2011 9:30,4.623,3.01,,,,
21,11/22/2011 10:00,4.623,3.01,,,,
22,11/22/2011 10:30,4.623,3.01,,,,
23,11/22/2011 11:00,4.623,3.01,,,,
24,11/22/2011 11:30,4.623,3.01,,,,
25,11/22/2011 12:00,4.623,3.01,,,,
26,11/22/2011 12:30,4.623,3.01,,,,
27,11/22/2011 13:00,4.623,3.01,,,,
28,11/22/2011 13:30,4.623,3.01,,,,
29,11/22/2011 14:00,4.623,3.01,,,,
30,11/22/2011 14:30,4.623,3.01,,,,
31,11/22/2011 15:00,4.623,3.01,,,,
32,11/22/2011 15:30,4.623,3.01,,,,
33,11/22/2011 16:00,4.623,3.01,,,,
34,11/22/2011 16:30,4.623,3.01,,,,
35,11/22/2011 17:00,4.623,3.01,,,,
36,11/22/2011 17:30,4.519,3.01,,,,
37,11/22/2011 18:00,4.519,3.01,,,,
38,11/22/2011 18:30,4.519,3.01,,,,
39,11/22/2011 19:00,4.519,3.01,,,,
40,11/22/2011 19:30,4.311,3.01,,,,
41,11/22/2011 20:00,4.415,3.01,,,,
42,11/22/2011 20:30,4.415,3.01,,,,
43,11/22/2011 21:00,4.415,3.01,,,,
44,11/22/2011 21:30,4.415,2.99,,,,
45,11/22/2011 22:00,4.415,2.99,,,,
46,11/22/2011 22:30,4.415,2.99,,,,
47,11/22/2011 23:00,4.415,2.99,,,,
48,11/22/2011 23:30,4.415,2.99,,,,
49,11/23/2011 0:00,4.415,2.99,,,,
50,11/23/2011 0:30,4.415,2.99,,,,
51,11/23/2011 1:00,4.415,2.99,,,,
52,11/23/2011 1:30,4.311,2.99,,,,
53,11/23/2011 2:00,4.415,2.99,,,,
54,11/23/2011 2:30,4.415,2.99,,,,
55,11/23/2011 3:00,4.415,2.99,,,,
56,11/23/2011 3:30,4.311,2.99,,,,
57,11/23/2011 4:00,4.311,2.99,,,,
58,11/23/2011 4:30,4.415,2.99,,,,
59,11/23/2011 5:00,4.415,2.99,,,,
60,11/23/2011 5:30,4.415,2.99,,,,
61,11/23/2011 6:00,4.415,2.99,,,,
62,11/23/2011 6:30,4.415,2.99,,,,
63,11/23/2011 7:00,4.311,2.99,,,,
64,11/23/2011 7:30,4.311,2.99,,,,
65,11/23/2011 8:00,4.311,2.99,,,,
66,11/23/2011 8:30,4.311,2.99,,,,
67,11/23/2011 9:00,4.311,2.99,,,,
68,11/23/2011 9:30,4.207,2.99,,,,
69,11/23/2011 10:00,4.207,2.99,,,,
70,11/23/2011 10:30,4.207,2.99,,,,
71,11/23/2011 11:00,4.207,2.99,,,,
72,11/23/2011 11:30,4.207,2.99,,,,
73,11/23/2011 12:00,4.207,2.99,,,,
74,11/23/2011 12:30,4.102,2.99,,,,
75,11/23/2011 13:00,4.102,2.99,,,,
76,11/23/2011 13:30,4.102,2.99,,,,
77,11/23/2011 14:00,4.102,2.99,,,,
78,11/23/2011 14:30,3.998,2.99,,,,
79,11/23/2011 15:00,3.998,2.99,,,,
80,11/23/2011 15:30,3.998,2.99,,,,
81,11/23/2011 16:00,3.998,2.99,,,,
82,11/23/2011 16:30,3.893,2.97,,,,
83,11/23/2011 17:00,3.893,2.99,,,,
84,11/23/2011 17:30,3.893,2.97,,,,
85,11/23/2011 18:00,3.893,2.97,,,,
86,11/23/2011 18:30,3.893,2.97,,,,
87,11/23/2011 19:00,3.893,2.97,,,,
88,11/23/2011 19:30,3.788,2.97,,,,
89,11/23/2011 20:00,3.788,2.97,,,,
90,11/23/2011 20:30,3.683,2.97,,,,
91,11/23/2011 21:00,3.683,2.97,,,,
92,11/23/2011 21:30,3.578,2.97,,,,
93,11/23/2011 22:00,3.683,2.97,,,,
94,11/23/2011 22:30,3.578,2.97,,,,
95,11/23/2011 23:00,3.683,2.97,,,,
96,11/23/2011 23:30,3.683,2.97,,,,
97,11/24/2011 0:00,3.683,2.97,,,,
98,11/24/2011 0:30,3.683,2.97,,,,
99,11/24/2011 1:00,3.578,2.97,,,,
100,11/24/2011 1:30,3.578,2.97,,,,
101,11/24/2011 2:00,3.472,2.97,,,,
102,11/24/2011 2:30,3.578,2.97,,,,
103,11/24/2011 3:00,3.578,2.97,,,,
104,11/24/2011 3:30,3.578,2.97,,,,
105,11/24/2011 4:00,3.578,2.97,,,,
106,11/24/2011 4:30,3.578,2.97,,,,
107,11/24/2011 5:00,3.578,2.97,,,,
108,11/24/2011 5:30,3.578,2.97,,,,
109,11/24/2011 6:00,3.578,2.97,,,,
110,11/24/2011 6:30,3.578,2.97,,,,
111,11/24/2011 7:00,3.578,2.97,,,,
112,11/24/2011 7:30,3.578,2.97,,,,
113,11/24/2011 8:00,3.472,2.97,,,,
114,11/24/2011 8:30,3.578,2.97,,,,
115,11/24/2011 9:00,3.683,2.97,,,,
116,11/24/2011 9:30,3.578,2.97,,,,
117,11/24/2011 10:00,3.683,2.97,,,,
118,11/24/2011 10:30,3.683,2.97,,,,
119,11/24/2011 11:00,3.683,2.97,,,,
120,11/24/2011 11:30,3.683,2.97,,,,
121,11/24/2011 12:00,3.683,2.97,,,,
122,11/24/2011 12:30,3.683,2.97,,,,
123,11/24/2011 13:00,3.578,2.97,,,,
124,11/24/2011 13:30,3.578,2.97,,,,
125,11/24/2011 14:00,3.578,2.97,,,,
126,11/24/2011 14:30,3.578,2.97,,,,
127,11/24/2011 15:00,3.683,2.97,,,,
128,11/24/2011 15:30,3.683,2.97,,,,
129,11/24/2011 16:00,3.683,2.97,,,,
130,11/24/2011 16:30,3.683,2.97,,,,
131,11/24/2011 17:00,3.683,2.97,,,,
132,11/24/2011 17:30,3.683,2.97,,,,
133,11/24/2011 18:00,3.683,2.97,,,,
134,11/24/2011 18:30,3.683,2.97,,,,
135,11/24/2011 19:00,3.683,2.97,,,,
136,11/24/2011 19:30,3.578,2.97,,,,
137,11/24/2011 20:00,3.578,2.97,,,,
138,11/24/2011 20:30,3.578,2.97,,,,
