site_id,pit_id,horizon,depth_top,depth_bottom,soc_pct,mat_c,map_mm,clay_pct,sand_pct,bulk_density
ABBY,D16_ABBY_PIT1,A,3,19,128,0.8509,2447,37.4,26.8,0.3933
ABBY,D16_ABBY_PIT1,A,19,44,49,0.8509,2447,34.9,24.8,0.8475
ABBY,D16_ABBY_PIT1,B,44,74,22,0.8509,2447,42.8,20.1,0.8913
ABBY,D16_ABBY_PIT1,O,0,3,138,0.8509,2447,36.4,27.2,0.1602
BARR,D18_BARR_PIT1,O,7,32,246,-1.1906,112,NA,NA,0.305
BARR,D18_BARR_PIT1,O,58,110,88,-1.1906,112,19.5,53.4,0.3525
BARR,D18_BARR_PIT1,O,0,7,396,-1.1906,112,NA,NA,NA
BART,1_BARTLETT_PIT1,A,3,5,386,0.5567,1258,6.2,46.8,0.1658
BART,1_BARTLETT_PIT1,B,40,73,9,0.5567,1258,1.6,71.5,1.2104
BART,1_BARTLETT_PIT1,B,9,15,38,0.5567,1258,3.6,61.8,0.7032
BART,1_BARTLETT_PIT1,B,15,22,27,0.5567,1258,3.8,63.3,0.9176
BART,1_BARTLETT_PIT1,B,22,40,13,0.5567,1258,2.8,64.9,0.9195
BART,1_BARTLETT_PIT1,O,0,3,448,0.5567,1258,11.8,34.3,0.1059
BLAN,2_BLANDY_PIT1,A,2,14,18,1.2027,987,19.4,26.4,1.132
BLAN,2_BLANDY_PIT1,A,14,23,10,1.2027,987,20.5,25.8,1.3776
BLAN,2_BLANDY_PIT1,B,23,51,3,1.2027,987,36.6,17.9,1.2252
BLAN,2_BLANDY_PIT1,B,51,84,1,1.2027,987,42.5,19.4,1.0397
BLAN,2_BLANDY_PIT1,O,0,2,430,1.2027,987,0,21.2,0.0406
BONA,D19_BONA_PIT1,B,22,38,49,-0.322,319,11.3,25.7,0.8706
BONA,D19_BONA_PIT1,O,10,22,220,-0.322,319,NA,NA,0.3893
BONA,D19_BONA_PIT1,O,0,10,431,-0.322,319,NA,NA,0.0617
CLBJ,11_CLBJ_PIT1,A,0,21,5,1.7455,869,10.1,55.5,1.5876
CLBJ,11_CLBJ_PIT1,B,34,71,3,1.7455,869,27.6,44.3,1.6353
CLBJ,11_CLBJ_PIT1,B,71,89,3,1.7455,869,20.3,50,1.7069
CLBJ,11_CLBJ_PIT1,B,89,122,2,1.7455,869,15.1,48.8,1.6512
CPER,10_CPER_PIT1,A,0,10,8,0.9204,368,11.9,71.5,1.5363
CPER,10_CPER_PIT1,B,10,30,6,0.9204,368,11.9,73.8,1.5473
CPER,10_CPER_PIT1,B,81,137,2,0.9204,368,22.6,60.2,1.7075
CPER,10_CPER_PIT1,B,137,181,1,0.9204,368,20.9,59.3,1.7425
CPER,10_CPER_PIT1,B,30,54,4,0.9204,368,19.8,66.5,1.5282
CPER,10_CPER_PIT1,B,54,81,4,0.9204,368,23.6,48.6,1.6602
DCFS,9_DAKOTAC_PIT1,A,0,8,70,0.4562,435,32.3,29.3,0.7419
DCFS,9_DAKOTAC_PIT1,A,8,18,25,0.4562,435,36.6,33.6,1.1909
DCFS,9_DAKOTAC_PIT1,A,18,26,16,0.4562,435,32,33.4,1.1169
DCFS,9_DAKOTAC_PIT1,B,92,110,4,0.4562,435,28.8,27.1,1.397
DCFS,9_DAKOTAC_PIT1,B,35,55,9,0.4562,435,31.6,31.2,1.3825
DCFS,9_DAKOTAC_PIT1,B,55,92,5,0.4562,435,28.5,32.2,1.346
DCFS,9_DAKOTAC_PIT1,B,26,35,19,0.4562,435,29.2,35.7,1.2984
DEJU,D19_DEJU_PIT1,A,5,16,27,-0.2905,293,8,33.8,1.0982
DEJU,D19_DEJU_PIT1,B,30,72,2,-0.2905,293,3.3,77.7,1.2264
DEJU,D19_DEJU_PIT1,B,16,30,5,-0.2905,293,8.9,31.8,1.2322
DEJU,D19_DEJU_PIT1,O,0,5,170,-0.2905,293,5.7,34.2,0.569
DELA,8_DEADLAKE_PIT1,A,2,15,28,1.7667,1401,39.5,3.4,1.0251
DELA,8_DEADLAKE_PIT1,A,15,27,19,1.7667,1401,42.7,11.8,0.7033
DELA,8_DEADLAKE_PIT1,B,27,58,6,1.7667,1401,33,23.2,1.1205
DELA,8_DEADLAKE_PIT1,B,58,79,2,1.7667,1401,26.8,28,1.3206
DELA,8_DEADLAKE_PIT1,B,79,150,1,1.7667,1401,28.1,26.7,1.0798
DELA,8_DEADLAKE_PIT1,B,150,200,1,1.7667,1401,24.3,29.8,1.0912
DELA,8_DEADLAKE_PIT1,O,0,2,203,1.7667,1401,35.6,2.1,0.1056
DSNY,3_DISNEY_PIT1,A,9,26,9,2.2329,1223,0,97.2,1.4589
DSNY,3_DISNEY_PIT1,A,0,9,22,2.2329,1223,0.7,94,1.228
DSNY,3_DISNEY_PIT1,B,152,200,2,2.2329,1223,0.2,96.5,2.2713
DSNY,3_DISNEY_PIT1,B,43,55,22,2.2329,1223,1.5,94.5,1.4644
DSNY,3_DISNEY_PIT1,B,55,69,13,2.2329,1223,1.3,95.5,1.5087
GRSM,D07_GRSM_PIT1,A,0,21,66,1.3305,1335,15.6,55.9,0.7281
GRSM,D07_GRSM_PIT1,A,21,32,19,1.3305,1335,17,53.1,1.1777
GRSM,D07_GRSM_PIT1,B,32,58,8,1.3305,1335,16.3,55.3,1.3329
GRSM,D07_GRSM_PIT1,B,100,140,2,1.3305,1335,28,37.2,1.4085
GRSM,D07_GRSM_PIT1,B,140,206,2,1.3305,1335,22.1,47,1.3369
GUAN,4_GUANICA_PIT1,A,0,30,55,2.585,926,34.9,7.7,0.943
GUAN,4_GUANICA_PIT1,B,105,126,0,2.585,926,59.8,6.3,1.1579
GUAN,4_GUANICA_PIT1,B,30,55,15,2.585,926,47.4,6.2,1.3488
GUAN,4_GUANICA_PIT1,B,55,86,1,2.585,926,50.8,4.2,1.4364
GUAN,4_GUANICA_PIT1,B,86,105,1,2.585,926,58,5.3,1.2454
HARV,1_HARVARD_PIT1,A,4,9,96,0.7407,1097,11.7,58.8,0.4772
HARV,1_HARVARD_PIT1,A,9,17,59,0.7407,1097,11.2,60.1,0.6562
HARV,1_HARVARD_PIT1,B,17,32,33,0.7407,1097,9.9,63.9,0.775
HARV,1_HARVARD_PIT1,B,32,53,11,0.7407,1097,6.9,69.6,1.2805
HARV,1_HARVARD_PIT1,B,53,82,3,0.7407,1097,3.1,87.2,1.4603
HARV,1_HARVARD_PIT1,O,0,4,254,0.7407,1097,15.7,53.3,0.4608
HEAL,D19_HEAL_PIT1,A,31,50,96,-0.3451,420,13.4,35.1,1.4034
HEAL,D19_HEAL_PIT1,O,22,31,271,-0.3451,420,NA,NA,0.3531
HEAL,D19_HEAL_PIT1,O,9,22,454,-0.3451,420,NA,NA,0.0317
HEAL,D19_HEAL_PIT1,O,0,9,465,-0.3451,420,NA,NA,0.0226
JERC,3_JONES_PIT1,A,0,8,14,1.9053,1345,1.8,86.2,1.4166
JERC,3_JONES_PIT1,B,68,105,1,1.9053,1345,7.7,81.1,1.1273
JERC,3_JONES_PIT1,B,105,185,1,1.9053,1345,15,76.4,1.6965
JERC,3_JONES_PIT1,B,185,200,0,1.9053,1345,11.3,80.1,1.785
JORN,14_JORNADA_PIT1,A,0,18,2,1.5479,271,7.1,86.7,1.4196
